iso3,Country,year,pop_mln,Country Total Emissions 2020 (MT),Country Total Emissions 2020 (tonnes),Country PCC Emissions 2020 (tonnes),gdp_blnUSDMER,gdp_blnUSDPPP,fossil_CO2_MtCO2,LULUCF_MtCO2,NonCO2_MtCO2e,vol_rdxn_MtCO2,allocation_MtCO2,responsibility_MtCO2,a1_dom_rdxn_MtCO2,net_import_MtCO2,capacity_blnUSDMER,rci,pop_mln_above_dl,pop_mln_above_lux,lux_emiss_MtCO2,lux_emiss_applied_MtCO2,kyoto_gap_MtCO2,lon,lat
ARE,United Arab Emirates,2020,9.81317,342.3220129,342322012.9,34.8839379,422.0124207,451.0690493,287.6852366,-0.213000004,54.63677629,0,263.1082076,4697.991928,0,-10.64524512,353.4384401,0.006983669,9.62626183,2.776866601,81.31570247,0,0,54.163,23.549
GBR,United Kingdom,2020,67.590904,509.0722656,509072265.6,7.531668249,2937.631836,2636.348888,413.9564056,-15.21228377,95.11585999,0,134.1089989,15278.70062,0,183.0233438,2373.271933,0.033057613,67.21079894,20.10136962,90.8008119,0,0,-1.6,53
USA,United States,2020,335.466848,6718.63448,6718634480,20.02771517,18631.31641,16853.49171,5525.992065,-743.0138346,1192.642415,0,3567.588204,168780.6524,0,766.1681875,15880.68535,0.277803392,321.6012997,125.9350035,2509.335495,0,594.7198094,-98.606,39.622
URY,Uruguay,2020,3.494387,44.47896012,44478960.12,12.7286875,54.72910309,60.14082407,7.50831612,-14.89999978,36.970644,0,36.27443823,522.4526723,0,4.15156543,32.99892701,0.000723329,2.581769795,0.111851658,1.957669712,0,0,-56.012,-32.8
UZB,Uzbekistan,2020,33.235824,284.6937891,284693789.1,8.565871245,78.8739624,157.7133424,142.5382118,-8.849000216,142.1555773,0,280.5896353,311.7693935,0,-22.8685,11.43368837,0.000361832,5.352952656,0.000106973,0.003381788,0,0,63.17,41.75
VUT,Vanuatu,2020,0.293934,0.74401849,744018.49,2.531243374,0.90027976,1.250062894,0.143004278,-0.019800001,0.601014212,0,0.71655541,1.764344719,0,0.298187225,0.108894697,2.42E-06,0.037631173,5.18E-06,4.13E-05,0,0,166.899,-15.376
VEN,Venezuela,2020,33.17239,196.2141113,196214111.3,5.914982651,263.8886108,212.015922,112.84526,35.06039842,83.36885134,0,159.4087428,3036.932572,0,-19.84303906,78.28291309,0.003244845,8.789950483,0.211595804,3.11963447,0,0,-66.166,7.125
VNM,Vietnam,2020,98.360152,395.7202555,395720255.5,4.023176535,209.1399536,491.1258919,226.3643964,-12.04400023,169.3558591,0,390.5201954,294.6775924,0,23.83833008,24.58287811,0.000458449,16.55658588,4.90E-06,5.77E-05,0,0,105.314,21.491
YEM,Yemen,2020,30.245304,49.55420748,49554207.48,1.638409965,24.29384995,44.6158825,30.91599814,0,18.63820934,0,49.43251823,11.437466,0,-1.984467285,0.118315396,1.07E-05,0.109151823,4.81E-09,5.77E-08,0,0,48.355,15.807
ZMB,Zambia,2020,18.679274,38.99144634,38991446.34,2.087417655,32.00840378,35.80162838,5.001073996,350.6999995,33.99037234,0,38.19983845,61.60257521,0,4.095944336,2.057559879,6.98E-05,0.548951054,0.000707714,0.012065835,0,0,26.32,-14.614
ZWE,Zimbabwe,2020,17.680464,29.2221113,29222111.3,1.652790973,15.37014198,46.11042595,12.45557777,36.89999803,16.76653353,0,25.72221544,311.80607,0,-1.628523315,5.128054516,0.000308559,1.282016892,0.006555806,0.402767049,0,0,29.872,-19
WORLD,World,2020,7786.429762,51135.89279,51135892790,6.567309326,87130.81904,98242.81845,38028.72382,2773.262769,13107.16897,0,39793.17212,587848.9546,0,4.52E-05,59147.9014,1,3049.664928,412.6040377,5716.813981,0,1061.38455,#N/A,#N/A
HIGH_INCOME,High Income,2020,1205.862212,16603.49778,16603497780,13.76898423,54016.13721,46877.46076,13685.94337,-1311.341211,2917.55441,0,8791.013597,374733.772,0,2755.362218,43773.38574,0.688766338,1167.389623,365.5948142,4154.982468,0,1061.38455,#N/A,#N/A
UPPER_MID_INCOME,Upper Middle Income,2020,2712.60405,25224.185,25224185000,9.298882008,24773.91864,34897.06002,18969.38639,681.362514,6254.798606,0,21964.32538,198250.2796,0,-2806.452561,14050.36361,0.287396623,1329.535557,46.86448394,1559.011969,0,0,#N/A,#N/A
LOWER_MID_INCOME,Lower Middle Income,2020,3135.830698,8235.46419,8235464190,2.626246435,7828.634941,15282.07787,5158.503058,2686.418713,3076.961132,0,7975.301349,14023.18191,0,1.369699711,1302.319461,0.022936547,540.5992968,0.137925033,2.399948138,0,0,#N/A,#N/A
LOW_INCOME,Low Income,2020,732.132802,1072.745828,1072745828,1.465233937,512.1282464,1186.219795,214.8910071,716.8227529,857.8548205,0,1062.531793,841.721138,0,49.72068922,21.83258843,0.000900492,12.14045148,0.006814528,0.419595454,0,0,#N/A,#N/A
ANNEX_1,Annex I,2020,1339.505984,17473.39953,17473399530,13.04465955,52890.20192,46268.20163,13712.09313,-1984.986981,3761.306402,0,9715.438135,383695.474,0,2141.630668,42303.05114,0.683959486,1214.927297,351.8002343,3900.753535,0,1061.38455,#N/A,#N/A
ANNEX_2,Annex II,2020,954.947838,12939.49152,12939491520,13.54994587,47853.54877,39455.3856,10667.46322,-1122.63468,2272.028295,0,6095.703223,320446.0599,0,2283.294441,39132.93167,0.60336391,935.5568613,344.0808407,3774.274281,0,1058.589203,#N/A,#N/A
NON_ANNEX_1,Non-Annex I,2020,6446.923778,33662.49326,33662493260,5.221481503,34240.61712,51974.61681,24316.63069,4758.24975,9345.862566,0,30077.73399,204153.4807,0,-2141.630623,16844.85025,0.316040514,1834.737631,60.80380342,1816.060446,0,0,#N/A,#N/A
EIT,EITs,2020,411.6401225,4982.888069,4982888069,12.10496207,4235.565545,6020.795733,3214.628236,-854.1521552,1768.259833,0,4138.658901,62579.59036,0,-217.3664537,2508.054282,0.07442916,254.6993854,4.780111812,103.0892293,0,1.934376667,#N/A,#N/A
