iso3,country,year,pop_mln,TotalEmissions_MT,PCC,gdp_blnUSDMER,gdp_blnUSDPPP,fossil_CO2_MtCO2,LULUCF_MtCO2,NonCO2_MtCO2e,vol_rdxn_MtCO2,allocation_MtCO2,responsibility_MtCO2,a1_dom_rdxn_MtCO2,net_import_MtCO2,capacity_blnUSDMER,rci,pop_mln_above_dl,pop_mln_above_lux,lux_emiss_MtCO2,lux_emiss_applied_MtCO2,kyoto_gap_MtCO2
BGR,Bulgaria,2020,6.940527,65.3,9.4,64.16756439,116.3850462,51.05230904,-8.005163272,14.2642324,0,55.0497119,703.5864528,0,2.185618896,36.28196951,0.000905147,6.064484377,0.00367432,0.032497295,0,0
BFA,Burkina Faso,2020,20.903346,37.4,1.8,15.90770435,33.6587368,3.89937079,10.33199994,33.4885842,0,37.12995613,25.22565585,0,3.140419189,0.152585705,2.27E-05,0.141571283,1.20E-08,1.82E-07,0,0
BDI,Burundi,2020,11.939227,6.6,0.6,2.32187891,4.939871694,0.536820615,0.610000019,6.033301353,0,6.569895395,0.021794348,0,0.83934967,0.000170096,2.00E-08,0.000235054,3.32E-13,5.22E-12,0,0
KHM,Cambodia,2020,16.715508,39.8,2.4,22.0893383,54.67374345,6.50378565,23.57000113,33.25508499,0,39.35580522,23.84419844,0,9.323007813,1.804516584,3.55E-05,1.212757378,3.36E-06,5.03E-05,0,0
CMR,Cameroon,2020,25.958184,33.9,1.3,42.0592041,75.02779066,11.62397178,112.0999997,22.31301133,0,33.15479158,48.94220513,0,3.583790527,3.233209497,6.90E-05,1.514101958,6.25E-05,0.000498185,0,0
CAN,Canada,2020,37.603204,737.3,19.6,1998.532715,1523.284847,577.7236277,-35.4436868,159.5509834,0,422.1033822,16481.65387,0,8.578166992,1628.649062,0.027786211,37.51032843,16.38544695,176.9244027,0,140.8689358
CPV,Cape Verde,2020,0.567348,0.9,1.6,2.186453342,2.271940912,0.570160091,-0.121150007,0.326889304,0,0.863338519,1.150321717,0,0.683061035,0.235835847,2.97E-06,0.063439814,3.68E-05,0.00015696,0,0
CAF,Central African Republic,2020,4.920889,39.7,8.1,1.827160835,2.867066066,0.594390387,13.39000034,39.15172418,0,39.34688117,40.65339093,0,0.374657776,0.073252351,3.52E-05,0.023159899,2.97E-05,0.012076553,0,0
TCD,Chad,2020,16.285093,31,1.9,13.72287083,22.17156971,0.775222018,25.74999905,30.18738619,0,30.95282449,0.808737387,0,0.602520386,0.020663566,8.63E-07,0.020838374,9.95E-11,1.10E-09,0,0
CHL,Chile,2020,18.472638,112.2,6.1,295.5353699,330.8170157,82.61256218,-55.90600141,29.56849702,0,79.7295076,1442.328222,0,6.574624023,193.3210989,0.002861002,11.36151691,1.000895274,13.79439391,0,0
CHK,China,2020,1424.548224,14998.7,10.5,12610.76758,18690.27594,12316.05314,-353.0997594,2682.627462,0,13452.57576,84896.72037,0,-2457.367,7582.580517,0.136308113,636.7177781,29.22210417,1252.155655,0,0
COL,Colombia,2020,50.220412,219.6,4.4,411.0402222,559.3162529,104.3321533,90.84999466,115.2643782,0,176.6915833,2274.768073,0,9.657375,218.5839101,0.003782598,21.36708336,0.701089166,10.98890316,0,0
COM,Comoros,2020,0.869601,0.8,0.9,0.710403502,0.949021989,0.178842768,0.071070004,0.603677412,0,0.781946104,0.040479995,0,0.221172729,0.001914174,5.06E-08,0.001295364,1.41E-09,1.05E-08,0,0
COD,"Congo, Democratic Republic of the",2020,89.5052,59.4,0.7,34.63484955,103.9045486,5.390074412,170.8999926,54.0250206,0,59.35840157,4.707002713,0,11.10538477,0.117661873,5.00E-06,0.174295216,1.94E-10,1.90E-09,0,0
COG,"Congo, Republic of the",2020,5.686917,12.6,2.2,14.05426979,18.01948976,2.722456753,13.42000031,9.884012779,0,12.21739503,26.84054386,0,1.302400269,1.35711722,3.43E-05,0.420977591,0.000177241,0.001833202,0,0
